Business Name,Industry,City,Website,Owner/Contact,Email,Phone,Google Rating,Website Quality (1-10),Priority,Pain Points,Personalized Opening,Contacted,Follow-up Date,Notes
Bible Fellowship Church (BFC Sebring),Churches,Sebring,bfcsebring.com,,,(863) 385-1024,,8,Low,None identified — site already modern,BFC Sebring's livestream and sermon archive setup is solid — curious if growth has started to bump into any site limitations.,,,"Missions contact: Adam Smehyl, Adam.Smehyl@bfcfamily.com"
Treating With Quality (TWQ),Landscaping,Sebring,twqllc.com,,customersupport@twqllc.com,(863) 699-0212,,8,Low,None identified — site already modern with clear CTAs,"TWQ's site does a great job across service pages — wanted to see how it's performing for organic search across Sebring, Avon Park, and Lake Placid.",,,"Also serves Lake Placid, Avon Park, and surrounding counties"
Evergreen Landscape & Nursery,Landscaping,Sebring,evergreenlawncarefl.com,,,(863) 214-0646,,7,Medium,"No owner/contact name listed, minimal SEO depth, limited service detail pages","Evergreen's site has strong testimonials, but there's no visible owner contact and the service pages are pretty thin — easy wins for search visibility.",,,
Star Landscape,Landscaping,Sebring,starlandscapedesigncenter.com,Mike Cochlin,,(863) 991-1949,,7,Medium,"No email contact option, repetitive content blocks","Star Landscape's 30+ years and 3,000+ properties story is compelling, but there's no email option for visitors who'd rather not call first.",,,
Freedom Lawn Care and Landscaping,Landscaping,Sebring,freedomlawn-landscape.com,Carl Horton,freedomlawncare@embarqmail.com,(863) 655-2526,,7,Medium,"Dated design aesthetics, mixed HTTP/HTTPS asset loading","Freedom Lawn Care has real local recognition (voted Best Lawn Care in Highlands County), but the site's design feels dated next to competitors.",,,
Velocity Air Conditioning,HVAC,Sebring,velocityairconditioning.com,,info@velocityairconditioning.com,727-337-7716,,8.5,Low,None identified — site already modern,Velocity's dispatch-tracking and county-by-county service pages are a smart setup — wanted to see how the site converts mobile emergency-call traffic.,,,HQ in Clearwater; serves Sebring/Highlands County via local coverage pages
Highlands AES (Air & Electrical Services),HVAC,Sebring,highlandsaes.com,,Office4aes@gmail.com,863-402-5664,,8,Low,None identified — site already modern,Highlands AES' booking flow and financing info are clear on the site — curious how the mobile experience is converting.,,,
Mark Palmer Electric and Air,HVAC,Sebring,markpalmerelectric.com,,info@markpalmerelectric.com,863-402-0000,,6,Medium,"Site blocks automated review tools, signaling possible dated hosting/security config","Mark Palmer Electric & Air has a great 3rd-generation, 40+ year story — wanted to see how the current site's technical setup is serving that reputation.",,,Also serves Avon Park; verified live via curl (mobile viewport confirmed)
Lakeside Air Conditioning,HVAC,Sebring,lakeside-hvac.com,,lakesideairconditioning@hotmail.com,863-385-5806,,8,Low,None identified — site already modern,Lakeside Air's testimonials and CTA placement are solid — wanted to check in on how the site's performing for local search.,,,Family owned and operated 45 years
RIG Roofing,Roofing,Sebring,rigroofing.com,,,(863) 294-4477,,8,Low,None identified — site already modern,"RIG Roofing's trust badges (BBB A+, Google Guaranteed) come through clearly on the site — curious how it's converting for lead volume.",,,License CBC1257644 / CCC1329175
Done Rite Electrical Services,Electricians,Sebring,doneriteelectricalservices.com,,,863-677-7791,,8,Low,None identified — site already modern,Done Rite's site covers a wide service area clearly — wanted to see how it's performing for organic search across Highlands County.,,,"Serves Sebring, Avon Park, Lake Placid, Highlands & Okeechobee Counties"
Bullgator Plumbing,Plumbing,Sebring,bullgatorplumbing.com,,bullgatorplumbing@gmail.com,(863) 381-5665,,8,Low,"Minor broken image placeholders, 'Contact Us' link misrouted to a service page",Bullgator's site has strong testimonials and a clear CTA — noticed a couple of broken image placeholders and a misrouted contact link worth a quick fix.,,,License CFC1429605
Cox Plumbing (B.A. Cox Plumbing),Plumbing,Sebring,coxplumbing-fl.net,,,863-314-8856,,6,Medium,"Site blocks automated review tools, signaling possible dated hosting/security config",Cox Plumbing has a 70+ year story in the area — wanted to see how the current site's technical setup is serving that reputation.,,,Verified live via curl (mobile viewport confirmed)
Monarch Plumbing,Plumbing,Sebring,monarchplumb.com,Lisa,lisa@monarchplumb.com,863-385-0517,,7,Medium,"Built on a generic website-builder template, minimal detail on pricing/service area","Monarch Plumbing's site covers the basics well, but it's running on a generic builder template with limited service-area detail.",,,"New construction inquiries: Scott Webster, webster.scott9@gmail.com"
Genie Detail,Auto Detailing,Sebring,geniedetail.com,,,(863) 633-0345,,8,Low,None identified — site already modern,Genie Detail's 5-star reviews and booking button are front and center — wanted to see how mobile conversion is tracking.,,,Veteran-owned
Xclusive Detailing,Auto Detailing,Sebring,,,,(863) 991-5175,,,High,No website found — Facebook page only,"Xclusive Detailing doesn't appear to have its own website yet — right now customers can only find you on Facebook, which means you're invisible to anyone searching Google directly.",,,"Address: 1409 US Hwy 27 South, Sebring, FL. Found via Facebook business listing."
"Homes by Handley, Inc.",Contractors,Sebring,,,,,,,High,No website found despite 50+ years in business,"Homes by Handley has served Highlands County since 1972, but there's no website showing up for the business — that's a lot of reputation not working for you online.",,,Found via general business search; no independent website located
JMC Builders,Contractors,Avon Park,jmcbuilders.net,Tony,tony2times@hotmail.com,(863) 449-0790,,7.5,Medium,"Minimal project gallery, no visible testimonials","JMC Builders' site covers services clearly, but there's no project gallery or testimonials yet to back up the on-site service reputation.",,,License CBC #1251644
Heartland Complete Care Dentistry,Dentists,Avon Park,hccdentistry.com,Dr. Wood,info@hccdentistry.com,(863) 453-3258,,7,Medium,"Dated design elements, placeholder-style imagery","Heartland Complete Care's 'not a chain' story is a great differentiator, but the site's visuals feel dated next to that message.",,,Serving patients since 2007
"Steven M Guelff, DMD",Dentists,Avon Park,,,,(863) 452-2200,,,High,No website found,Dr. Guelff's practice doesn't show up with a website in search — patients researching a new dentist online won't find you.,,,"Address: 104 E Main St, Avon Park, FL 33825"
Avon Park Christian Church,Churches,Avon Park,apcc.church,,,(863) 453-5334,,,Medium,Site sits behind a bot-verification wall that blocked full content review,"Avon Park Christian Church's site loads but is gated behind a verification screen on first load, which can be an odd first impression for visitors.",,,Verified live via curl (HTTP 200); full content review inconclusive
First United Methodist Church Avon Park,Churches,Avon Park,fumcap.com,,fumc316.sec@gmail.com,(863) 453-3759,,6,High,"Dated design, broken PDF bulletin viewer, redundant navigation menus",FUMC Avon Park's bulletin/PDF viewer isn't loading correctly and the menus repeat — small fixes that would make it easier for visitors to find service times.,,,
Community Bible Church,Churches,Avon Park,avonparkchurch.org,,avonpark.communitybiblechurch@gmail.com,(863) 452-5643,,7.5,Medium,"Limited visual hierarchy, no visible news/blog updates","Community Bible Church's worship-times CTA is clear, but there's no news or updates section to keep return visitors engaged.",,,
Knightly Detail,Auto Detailing,Avon Park,cooltoadems.wixsite.com/knightlydetail,,KnightlyDetail@gmail.com,,,3,High,"Running on a free, unbranded Wix subdomain instead of a custom domain","Knightly Detail is doing great work across home, auto, and lawn detailing, but the site's still on a free Wix subdomain — an easy trust signal to fix with a real domain.",,,"Serves Sebring, Avon Park, and Lake Placid"
Placid Lakes Baptist Church,Churches,Lake Placid,placidlakesbc.com,Pastor Tim,lpcotn@gmail.com,(863) 465-5126,,6.5,High,"Dated design, 'Not Available at This Time' placeholder content still showing on-page",Placid Lakes Baptist's site has a couple of sections still showing 'not available at this time' — quick wins to make the site feel current.,,,
Lake Placid Church of the Nazarene,Churches,Lake Placid,lakeplacidnazarene.org,Pastor Tim,lpcotn@gmail.com,(863) 465-6916,,7,Medium,"Duplicate address listings, formatting inconsistencies","Lake Placid Nazarene's site is welcoming, but there are duplicate address listings and some formatting inconsistencies worth cleaning up.",,,
Lakeview Christian Church,Churches,Lake Placid,lakeviewchristian.org,,,863-465-2422,,7.5,Medium,Limited visual hierarchy on homepage,Lakeview Christian's giving and service-time CTAs are clear — wanted to see how the site's performing for newcomer visits.,,,
Designer Dental,Dentists,Lake Placid,,"Oliver Kinnunen, DDS",,(863) 465-9090,,,High,Previously listed domain (designerdentallp.com) no longer resolves — no working website found,Designer Dental's old website domain isn't resolving anymore — right now a Google search for the practice leads nowhere.,,,"Address: 330 US Hwy 27 N, Lake Placid, FL 33852"
C&C Plumbing & Repair,Plumbing,Lake Placid,candcplumbing.org,Teresa,teresa@candcplumbing.org,863-465-0320,,8,Low,None identified — site already modern with strong testimonials,C&C's testimonials and family-owned story come through well on the site — wanted to check in on how it's performing for search.,,,Also lists josh@candcplumbing.org; serves Avon Park & Sebring too
Spires Roofing,Roofing,Lake Placid,spiresroofing.com,Gene,gene@spiresroofing.com,(863) 592-0059,,8,Low,None identified — site already modern,"Spires Roofing's multi-generation, 50+ year story comes through clearly on the site — curious how it's converting leads across Highlands County.",,,"Also serves Brevard County; office at 101 Teka Lane, Lake Placid, FL 33852"
